BMQDV;yCeTE 2;biGQs 4
manmons;Kami mengunjungi kuil di sekitar 8 hotel dan menyewa sebuah panduan bernama Yantu.Kuil ini indah dan harus mengunjungi jika anda berada di yogyakarta. Pengalaman kami disempurnakan oleh layanan sempurna diberikan Yantu. Dia juga tahu tempat yang baik untuk mengambil foto dan menyarankan kita baik tetsendiri. Di setiap foto yang dijetreknya, ia mencoba sebaik mungkin untuk menghindari orang-orang di belakangnya sehingga hanya dengan foto anda dalam kembali. Sangat dianjurkan untuk menyewa sebuah panduan untuk sepenuhnya menghargai kuil dan jika anda beruntung, anda mungkin telah Yantu sebagai pemandumu;Ditulis pada 30 September 2015
Nanes601;"Ini adalah tempat yang indah untuk dikunjungi. Ini bukan sebagai rumit sebagai angkor wat tapi kurasa tidak ada titik dicocokkannya sebagai masing-masing memiliki keindahan unik kuil & berlimpah-limpah. Setelah yogyakarta, anda juga harus mengambil kesempatan untuk mengunjungi prambanan, & gunung merapi RatuBoko. Perjalanan saya adalah hanya 2 hari penuh, tetapi saya mampu untuk menutupi segala sesuatu yang aku ingin melihat dan mengelola dengan baik untuk menjelajahi kota. Aku menyewa mobil (yang sopir taksi yang membawa saya ke hotel saya. Saya sering melakukan ini di perjalanan saya karena saya pikir perusahaan tur yang telah membuat lebih dari cukup, sehingga dengan membuat kesepakatan dengan lokal yang berusaha mencari nafkah untuk keluarganya, yang menang-menang besar! Saya lakukan saya disarankan saat membantu seorang ayah menyediakan untuk keluarganya. Tapi tentu, masih mencomel sebingkah... ) untuk hari untuk pergi ke kuil dan jelajahi merapi. Aku dibayar 600, 000Rupia. Selain itu, di perjalanan ke gunung merapi seharga 350 000. Aku telah pemandu yang mengantar saya berkeliling di atas-bawah yang benar-benar tua jeepney. Seluruh perjalanan adalah sebingkah ogal trepkos dan mungkin tidak nyaman bagi beberapa wisatawan karena sangat berdebu. Kami tiba sudah sangat ramah dan juga sangat bagus di foto. Sebagai untuk makanan. Aku makan hanya makanan lokal. Tentu saja, favorit saya adalah ayam goreng dengan nasi kurapan. Ada banyak kios kecil (pasar malam) dengan jalan di mana anda dapat memiliki mereka. Aku suka makan seperti ini karena hal ini benar-benar gaya indonesia, u harus duduk di lantai, kaki anda dan menikmati makanan mewah yang baik. Untuk ringkasan perjalanan saya. Aku mengambil ""beck"" kembali ke kamar hotel. Aku meninggalkan yogyakarta dengan senyum dan lihat di peta wisata impian; )";Ditulis pada 29 September 2015
Traverl8275;Ada benar-benar menakjubkan, pandangan benar-benar baik dan bangunan yang indah. Tapi periksa ramalan cuaca saat anda merencanakan perjalanan. Kami mengunjungi ada untuk matahari terbit, tetapi bila kita (seperti kami) anda tidak dapat benar-benar melihat pemandangan yang indah dan kemudian saya akan saran anda untuk pergi pada sore hari karena harga besar misalnya.;Ditulis pada 29 September 2015
lisa2w2015;Saya datang ke sini di siang hari di musim kemarau, jadi suhu sangat panas sekali. Anda dapat menyewa payung untuk 5000 rupiah setelah anda masukkan gerbang masuk atau mempersediakan topi untuk mengurangi panas matahari.Anda harus pergi ke lantai yang lebih rendah untuk melihat relief dinding. Ini akan jublek anda dengan rincian dan cerita-cerita. Tapi sayangnya, para pengunjung lokal kurang menghargai tempat ini. Ada kemubasiran berkaparan terutama dari botol minum. Dan meskipun ada tanda-tanda, mereka masih basah dan menempati stupa hanya untuk mengambil gambar.Anda juga harus bersabar saat anda keluar dari kawasan kuil. Karena jalan keluar yang akan membawa anda ke pusat bisnis toko. Sekitar 10 menit aku butuh hanya untuk melarikan diri dari kawasan ini. Tanda mengatakan bahwa ketidaknyamanan ini disebabkan oleh kejadian pediangan, tetapi sudah 1 tahun yang lalu dan harus disusun kembali sekarang.;Ditulis pada 28 September 2015
smith96;Kami tidak dengan hot dog dan ini adalah salah satu daya tarik wisata. Well worth kehilangan tidur beberapa jam untuk melihat sunrise yang luar biasa. Anda memiliki sedikit berjalan untuk melihat dan pemandu setempat yang luar biasa. Tidak penuh sesak di pagi haridan motor. Kami tidak banyak diganggu oleh dengungan namun saya melakukan beberapa pekerjaan promosi...;Ditulis pada 27 September 2015
;;
Marcel v;Ini adalah sebuah kuil yang indah seperti apa-apa yang pernah anda lihat. Pemandangan yang sangat luar biasa juga, tetapi diperingatkan bahwa itu akan dipenuhi dengan ribuan orang.;Ditulis pada 27 September 2015
Omzaornio;Awalnya, saya dan mitra saya tidak sangat tertarik pada tur matahari terbit namun kami pilihan hanya tersedia pada waktu itu sehingga kami bergabung dengan saya. Wow, itu benar-benar layak! Ada banyak lebih murah tidak kelimun di pagi hari. jadi kita tidak perlu ngeringkus di semua, tapi sangat menyenangkan berjalan-jalan di udara segar. Dan pemandangan dari hotel juga sangat istimewa. Itu adalah seperti perasaan yang tenang dan damai, dan sekali lagi, itu adalah besar bahwa tidak ada banyak orang di sekitar. Tempat ini adalah tempat yang harus anda kunjungi!;Ditulis pada 27 September 2015
FootyboyMalaysia;Kunjungan kedua saya ke tempat ini bersama dengan anakku yang belum pernah. Kali ini tanpa hujan dan bahu ke bahu kelimun dari sebuah liburan publik indonesia.Itu besar pertama kalinya, dan yang kedua kalinya bundar. Saat ini, di hari-hari kerja. Panduan kami merekomendasikan sebuah malam perjalanan kali ini. Kami punya dijemput di 12 dan mengunjungi dua kuil lain yang lebih kecil sepanjang jalan. Rupanya, dua kuil dan candi borobudur dibangun dalam garis lurus. jadi, ketika kami tiba untuk berenang di, itu adalah sekitar 2,45. Kami tinggal sampai matahari terbenam. Mereka memungkinkan anda untuk menginap di hotel sampai sekitar 17:15 dan tempat populer di 5,30. Aku memilih matahari terbenam untuk matahari terbit. Matahari sore dengan candi di sisi balik dari pintu masuk adalah benar-benar menakjubkan. Warna sempurna untuk pemotretan dengan cahaya hangat matahari sore.Untuk pelajar ' ingat untuk membawa kartu pelajar anda. Hotel dengan harga sangat terjangkau. Pada saat kami pergi, kami punya segudang foto tempat ini tanpa orang-orang di dalamnya. Di akhir pekan atau hari libur umum dan di pagi hari, saya diberitahu ini adalah tidak mungkin.Menginap di kota yogyakarta dan perjalanan di sini adalah baik-baik saja. Sekitar 1,5 jam jika lalu lintas sangat baik.Baru-Baru Ini.;Ditulis pada 26 September 2015
Heleen M;Borobudur adalah salah satu tempat khusus di saat matahari terbit. Sangat baik diatur. Anda dapat berjalan di dan kopi/teh dengan makanan ringan dan onsite dari;Ditulis pada 26 September 2015
Muller-reizen-op-pad;Di borobudur, bekas dari warisan unesco masih indah. Tidak pernah kurang, sekarang ini adalah milik pribadi dan saya berharap itu akan tetap seperti ini. Melihat dari dekat kehidupan buddha dan nikmati pemandangan sekitar semuanya.;Ditulis pada 25 September 2015
Nature-Lover-Admirer;Direkomendasikan untuk IDR 100 000 cuide di tempat bersama dengan tiket anda. Ini adalah situs unesco kuil buddha dan kuno (8th century).;Ditulis pada 24 September 2015
Ainoavm;Hanya menakjubkan, kami punya untuk berada di puncak untuk matahari terbenam dan itu merupakan pengalaman fullfilling. Udara myst di dengan semua tumbuhan di sekitarnya, warna, burung, suasana jauh di dalam hati anda.Anda tidak dapat melewatkan tempat ini!;Ditulis pada 23 September 2015
Truthful Reviews;Saya telah ke kuil candi di thailand setelah sehingga ketika saya menemukan kami akan ke candi borobudur saya pikir itu akan menjadi bagus tapi hanya kuil lain... bagaimana salah kami! Tempat ini adalah benar-benar luas dan menakjubkan. Hotel ini memberi anda keyakinan pada kemampuan manusia untuk melakukan sesuatu bersama-sama dan membuat sesuatu dengan tujuan!Batu yang dipahat di dinding kuil buddha menceritakan kisah. Dapatkan panduan yang baik untuk memberitahu anda ketika anda berjalan di pintu.Matahari terbit... (tidak lain karena saya mendengar anda berkata)! Saya pikir sama... tapi mendengar saya keluar... matahari terbit di sini adalah pengalaman spiritual yang fantastis! Saya tidak mengatakan bahwa hal-hal seperti ini tidak!Candi borobudur adalah salah satu tempat terbaik saya pernah ke di dunia ini!Jangan tinggalkan indonesia tanpa mengunjungi tempat ini!Tinggi dan panjang sehingga saat sinkronisme mungkin bukan tempat terbaik untuk mengambil anak-anak yang suka melompat-lompat. Sebuah gudang anggur yang sering diperlukan... sayangnya ada tidak ada akses kursi roda.;Ditulis pada 23 September 2015
rudolf_mattew;Saya terpesona oleh kuil ini, dari dasar ke puncak temple kita berusaha untuk mengamati dan belajar menghargai seni pabrikmu di kuil ini. begitu indah...;Ditulis pada 23 September 2015
jasryn;Kami mengambil tur melalui hotel manohara sunrise di 4:30, memasuki taman lengkap dengan 1,5 jam sebelum park dibuka. Transportasi sangat mudah, meskipun langkah-langkah cukup tinggi dan dapat menjadi sedikit rumit untuk bermanuver dalam gelap. Kami menetap di untuk matahari terbit yang dimulai sekitar 5:15 (kata pemandu wisata 5:55 tapi matahari tidak sepenuhnya oleh 5:30) sehingga untuk menghindari ini hilang, anda mungkin ingin melihat di google.Pada akhirnya, kita dibayar mendobelkan harga normal tiket untuk entri berkeistimewaan - Orang 38USD /. Dan sementara itu adalah pengalaman yang menyenangkan anda mungkin memiliki untuk menilai untuk diri anda sendiri apakah berharg. Itu sangat gelap ketika kami berjalan di jadi tidak ada sunrise sangat terlihat per se. Beberapa orang di kelompok kami tidak kecewa.Apakah anda memutuskan untuk melakukan tur matahari terbit atau tidak, itu adalah ide yang baik untuk pergi sedini mungkin karena matahari akan sangat panas di sekitar 9am.;Ditulis pada 21 September 2015
;;
Herr-der-Fliegen;Kami memesan tur untuk sekitar dua kuil yogja. Kami tiba di pagi hari setelah matahari terbit di candi borobudur. Kami tidak ingin bangun terlalu pagi sehingga kami memilih tur ieaving gumamny di 6. Ini adalah kuil benar-benar mengesankan. Sebelum kekeluaran yang anda miliki untuk berjalan melalui hari-hari shopping street.;Ditulis pada 20 September 2015
Rick049;"Kami mengunjungi candi borobudur, satu kestrukturan buddha terbesar di dunia, karena terdaftar di tripadvisor ini sebagai objek wisata terpopuler di pulau jawa. Aku mengakui bahwa aku belum pernah mendengar itu sebelumnya, atau minimal. Saya tidak ingat pernah mendengar tentang hal itu. Aku pasti senang saya dan istri saya mengambil upaya untuk sampai di sana. Hotel ini terletak sekitar satu jam di luar dari pusat yogyakarta dengan mobil. Kami mempekerjakan seorang sopir untuk membawa kami ke sana. Tidak perlu khawatir; harga adalah sangat rendah di indonesia. Kita dibayar setara dengan $10 dollar as tentang. Ini adalah benar-benar layak harga itu. Kuil besar dibangun di the 9th century terdiri atas mengkwadratkan kestrukturan raksasa, lapis di atas piramida fashion, semua sisi ditutupi dengan pahatan relief yang menceritakan kembali cerita kehidupan sang buddha dan ajarannya. Jika kaki anda berada di baik bentuk dan anda mampu memanjat tangga curam, tapi ini cukup sulit untuk mendapatkan ke bagian atas bangunan berlantai empat, dan menikmati pemandangan luar biasa di sekitarnya dan pegunungan. Hotel ini sangat indah, dan juga ditunjuk.Rekomendasi tertinggi mungkin.";Ditulis pada 17 September 2015
Lolla1271;Luar Biasa. Aku pergi ke sana sebagai seorang anak, tidak menikmati tempat ini, yang terlalu tinggi untuk saya langkah. Datang kembali beberapa kali sebagai orang dewasa, dan menikmati setiap saat itu. Di ketenangan pagi, tempat tertinggi di kuil benar-benar membuat saya merasa dilandaskan pada ibu bumi.Saran saya adalah untuk perjalanan yang terpisah, satu dengan anak-anak (12 tahun lebih muda dari) dan satu jika anda perlu untuk mengisi ulang jiwa anda. Jika anda ingin memiliki beberapa saat untuk pelayan, membatasi orang akan dengan anda dan datang sangat awal di pagi hari. Anda dapat menikmati matahari terbenam di salah satu bukit di sekitar candi. Panduan resmi setempat (dengan motor) akan memandu anda untuk pergi ke sana dengan beberapa biaya (kepadatan). Jika anda bepergian dari yogyakarta, sekitar 2 jam ini akan memerlukan waktu untuk mencapai sebelum matahariterbenam hill (sekitar 15 - 30 menit dengan berkendara dari kuil cinta). jadi, ya anda harus meninggalkan sekitar 3:30 yogyakarta hotel Taman dan kuil itu sendiri akan dibuka untuk publik pada 6 am, terlalu terlambat untuk matahari terbenam.Saya secara pribadi tidak menikmati perjalanan yang dilakukan di kemudian hari. Itu terlalu panas.Bepergian dengan anak-anak kecil, ada sebuah taman hijau yang mengelilingi kuil, anak-anak akan menikmati berkeliaran di daerah ini. Pastikan untuk membawa makanan dari rumah, tidak begitu banyak makanan yang anak kecil akan dapat untuk makan, di area ini.;Ditulis pada 16 September 2015
HeikeBauer19;Borobudur adalah salah satu situs paling terkenal di indonesia. Itu lebih dari hidup hingga ke harapan. Jika anda tinggal di yogya pastikan untuk bangun (sangat!) pagi untuk menyaksikan matahari terbit. Tiba di gelap, posisi diri anda sehingga anda menghadap ke arah pintu masuk untuk pemandangan menakjubkan matahari terbit dengan gunung berapi di kejauhan.;Ditulis pada 16 September 2015
TheoBLT;"Setelah membaca komentar dari sesama pelancong, kami mengubah rencana kami pada menit terakhir, dan memutuskan untuk pergi melihat matahari terbenam daripada matahari terbit.Kami sangat senang kami lakukan: indah resort di kuil yang memberitahu kami bahwa dia 160 + orang-orang berada di sana untuk melihat matahari terbit. Sementara kami berada di sekitar 20, dan tingkat 10, dan hanya 3 dari kami saat matahari menghilang sepenuhnya, kemarin. Sebuah pengalaman unik. Terima kasih tripadvisor!Kini, ada sebuah memperselukkan. Di sekitar hotel ini memiliki monopoli di candi, pukul 5:15 jadi jika, seperti kita, anda ingin lihat di matahari terbenam penuh, anda harus membeli tiket ""matahari terbenam tur"" dari hotel ini. Yang tidak ada yang benar-benar baik, itu hanya lencana yang mereka memberi anda, sehingga anda tidak mendapatkan menendang keluar dan bisa tinggal sampai 18:30 Pukul 5:30 photoku adalah menakjubkan, dan itu benar-benar menakjubkan untuk menjadi di atas kuil dengan diri kita sendiri ketika di sekitar masjid mulai untuk panggilan untuk doa. Ketika unesco mengatakan di situs resmi kami, itu benar-benar merasa seperti kuil ini "" oleh kurangnya terkompromi mengontrol kegiatan perdagangan dan [... ] yang memadai kepariwisatawan strategi manajemen "". Anda memang harus memeriami sesungguhnuya sebingkah untuk hak istimewa untuk tinggal sampai matahari terbenam. Rasanya seperti penyuapan kepada saya. Untuk harga ini. Aku akan diharapkan setidaknya memiliki panduan untuk tur kami di sekitar. Mudah-mudahan ini akan berubah di tahun mendatang.";Ditulis pada 16 September 2015
Sofia R;Kami pergi ke sana di tengah hari dan digunakan salah satu panduan di kuil yang disediakan oleh situs web. begitu menarik dan indah! Namun naiklah ke adalah apa-apa untuk merekomendasikan karena sinkronisme rata. Jangan lupa payung karena matahari!;Ditulis pada 16 September 2015
Joland06;Anda harus bangun pagi untuk mendapatkan anda untuk datang dan melihat tempat matahari terbit. Itu layak kami waktu di pagi hari ketika matahari terbit merupakan pemandangan yang sangat menakjubkan yang menghadap ke gunung berapi. Tempat ini menakjubkan.;Ditulis pada 15 September 2015
pingaroo;Kami sangat senang kami melakukan perjalanan matahari terbit di borobudur 4am. Ketika kami tiba di kuil di memesan, ada hampir tidak ada di dalamnya dan tidak berantre di loket penjualan tiket internasional (di loket penjualan tiket untuk orang-orang indonesia yang sudah lama berantre). Kami berjalan di tepat!Kuil ini luar biasa dan sangat terpelihara dengan baik. Anda dapat berjalan di sekitar candi dan ke atas dari masing-masing empat tim. Masih ada jumlah yang baik patung dan ukiran di tentang. Sayangnya, meskipun dengan tanda-tanda dan personel keamanan, banyak pengunjung duduk di stupa dan menyentuh mereka. Kebanyakan dari mereka adalah penduduk lokal! Itu sedih untuk melihat kuil yang indah seperti yang saya tidak terawat dan dihormati oleh masyarakat setempat. Bertahun-tahun kemudian, tetapi salah satu akan dapat melihat kuil dari dekat.Bagian terburuk dari kunjungan kami adalah kekeluaran, menjadi pasar yang luas. Kami butuh 15 - 20 min dari kuil pagar/kekeluaran untuk parkir mobil. Mengapa membangkruntukan seperti kuil yang indah dengan jadi, pasar murah?;Ditulis pada 14 September 2015
